,year,weighted_average_vote
0,1894,5.9
1,1906,6.1
2,1911,5.8
3,1912,5.2
4,1911,7.0
5,1912,5.7
6,1919,6.8
7,1913,6.2
8,1912,6.7
9,1912,5.5
10,1913,6.6
11,1913,7.0
12,1913,7.1
13,1913,7.0
14,1914,6.2
15,1914,6.5
16,1913,7.0
17,1914,5.8
18,1913,6.5
19,1913,6.0
20,1913,6.2
21,1915,6.4
22,1914,6.4
23,1914,6.5
24,1914,7.1
25,1914,6.0
26,1913,7.5
27,1914,6.9
28,1914,5.8
29,1915,6.8
30,1914,7.0
31,1914,5.2
32,1915,6.6
33,1914,5.8
34,1914,6.1
35,1914,5.5
36,1914,6.3
37,1914,5.7
38,1914,6.1
39,1914,6.3
40,1915,6.3
41,1914,5.3
42,1914,5.6
43,1914,6.4
44,1914,5.7
45,1915,6.6
46,1915,6.2
47,1915,6.3
48,1915,6.4
49,1915,6.6
50,1915,6.0
51,1915,5.8
52,1915,6.4
53,1916,6.8
54,1915,6.6
55,1915,5.9
56,1915,5.6
57,1915,6.1
58,1915,6.9
59,1917,6.9
60,1915,6.8
61,1915,7.3
62,1915,5.9
63,1916,6.2
64,1916,4.5
65,1915,6.0
66,1916,6.8
67,1916,6.1
68,1916,6.4
69,1916,5.3
70,1916,6.6
71,1916,5.7
72,1916,6.6
73,1916,6.8
74,1916,5.9
75,1916,5.6
76,1916,7.8
77,1916,7.4
78,1916,6.0
79,1916,7.0
80,1916,4.7
81,1916,6.5
82,1916,5.6
83,1916,6.4
84,1916,6.8
85,1916,6.2
86,1916,5.3
87,1916,5.8
88,1916,6.3
89,1917,5.9
90,1917,6.0
91,1917,6.5
92,1917,6.1
93,1917,6.1
94,1918,6.5
95,1916,6.5
96,1917,5.9
97,1917,5.7
98,1917,6.4
99,1917,6.7
100,1918,7.1
101,1917,6.7
102,1917,6.4
103,1917,6.1
104,1917,5.7
105,1917,6.9
106,1917,6.2
107,1917,6.0
108,1917,7.4
109,1917,6.0
110,1917,4.8
111,1917,6.1
112,1917,6.7
113,1917,6.4
114,1918,5.8
115,1919,5.9
116,1918,5.5
117,1918,7.3
118,1918,7.0
119,1918,6.0
120,1918,6.0
121,1918,5.9
122,1917,6.2
123,1918,5.4
124,1918,6.4
125,1918,6.1
126,1918,5.1
127,1918,6.5
128,1918,5.2
129,1918,5.9
130,1918,6.4
131,1918,4.4
132,1919,6.1
133,1918,5.1
134,1918,7.3
135,1918,6.7
136,1918,5.7
137,1918,7.0
138,1918,5.9
139,1918,6.8
140,1919,7.0
141,1919,5.9
142,1919,7.2
143,1919,7.1
144,1919,6.3
145,1919,7.1
146,1919,7.0
147,1919,7.3
148,1919,5.7
149,1919,6.5
150,1919,5.9
151,1919,6.6
152,1919,5.3
153,1919,5.4
154,1919,6.5
155,1919,5.8
156,1919,6.8
157,1919,5.6
158,1919,3.9
159,1919,5.6
160,1919,7.3
